1.1.1.157	01120
1.1.1.158	00520
1.1.1.158	00550
1.1.1.158	01100
1.1.1.16	00052
1.1.1.169	00770
1.1.1.169	01100
1.1.1.169	01110
1.1.1.17	00051
1.1.1.170	00100
1.1.1.170	01066
1.1.1.170	01100
1.1.1.173	00051
1.1.1.174	00930
1.1.1.174	01120
1.1.1.175	00040
1.1.1.178	00280
1.1.1.178	01100
1.1.1.178	01110
1.1.1.179	00040
1.1.1.18	00521
1.1.1.18	00562
1.1.1.18	01100
1.1.1.18	01110
1.1.1.181	00120
1.1.1.181	01100
1.1.1.183	00281
1.1.1.183	01110
1.1.1.184	00590
1.1.1.184	01100
1.1.1.187	00051
1.1.1.187	00520
1.1.1.188	00590
1.1.1.189	00590
1.1.1.189	01100
1.1.1.19	00040
1.1.1.19	00053
1.1.1.19	01100
1.1.1.190	00380
1.1.1.191	00380
1.1.1.192	00071
1.1.1.193	00740
1.1.1.193	01100
1.1.1.195	00940
1.1.1.195	01061
1.1.1.195	01100
1.1.1.195	01110
1.1.1.196	00590
1.1.1.2	00010
1.1.1.2	00561
1.1.1.2	00930
1.1.1.2	01100
1.1.1.2	01110
1.1.1.2	01120
1.1.1.20	00053
1.1.1.202	00561
1.1.1.205	00230
1.1.1.205	00983
1.1.1.205	01065
1.1.1.205	01100
1.1.1.205	01110
1.1.1.206	00960
1.1.1.206	01064
1.1.1.206	01100
1.1.1.206	01110
1.1.1.207	00902
1.1.1.207	01110
1.1.1.208	00902
1.1.1.21	00040
1.1.1.21	00051
1.1.1.21	00052
1.1.1.21	00561
1.1.1.21	00620
1.1.1.21	01100
1.1.1.211	00062
1.1.1.211	00071
1.1.1.211	01040
1.1.1.211	01070
1.1.1.211	01100
1.1.1.213	00140
1.1.1.215	00030
1.1.1.215	01100
1.1.1.215	01120
1.1.1.216	00909
1.1.1.218	00950
1.1.1.218	01063
1.1.1.218	01110
1.1.1.219	00941
1.1.1.219	01061
1.1.1.219	01100
1.1.1.219	01110
1.1.1.22	00040
1.1.1.22	00053
1.1.1.22	00500
1.1.1.22	00520
1.1.1.22	01100
1.1.1.22	01110
1.1.1.220	00790
1.1.1.220	01100
1.1.1.222	00350
1.1.1.222	00360
1.1.1.222	00960
1.1.1.222	01064
1.1.1.223	00902
1.1.1.223	01110
1.1.1.23	00340
1.1.1.23	01065
1.1.1.23	01100
1.1.1.23	01110
1.1.1.232	00590
1.1.1.234	00941
1.1.1.236	00960
1.1.1.237	00130
1.1.1.237	00350
1.1.1.237	00360
1.1.1.237	00960
1.1.1.237	01064
1.1.1.237	01110
1.1.1.239	00140
1.1.1.239	01100
1.1.1.24	00400
1.1.1.241	00902
1.1.1.243	00902
1.1.1.243	00903
1.1.1.244	00680
1.1.1.244	01100
1.1.1.244	01120
1.1.1.245	00930
1.1.1.245	01120
1.1.1.246	00943
1.1.1.246	01061
1.1.1.246	01110
1.1.1.247	00950
1.1.1.247	01063
1.1.1.247	01100
1.1.1.247	01110
1.1.1.248	00950
1.1.1.248	01063
1.1.1.248	01100
1.1.1.248	01110
1.1.1.25	00400
1.1.1.25	01061
1.1.1.25	01063
1.1.1.25	01070
1.1.1.25	01100
1.1.1.25	01110
1.1.1.251	00052
1.1.1.256	00624
1.1.1.256	01100
1.1.1.256	01120
1.1.1.257	00623
1.1.1.257	01120
1.1.1.258	00930
1.1.1.258	01120
1.1.1.259	00362
1.1.1.259	01120
1.1.1.26	00630
1.1.1.26	01100
1.1.1.26	01120
1.1.1.262	00750
1.1.1.262	01100
1.1.1.266	00523
1.1.1.267	00900
1.1.1.267	01062
1.1.1.267	01066
1.1.1.267	01070
1.1.1.267	01100
1.1.1.267	01110
1.1.1.27	00010
1.1.1.27	00270
1.1.1.27	00620
1.1.1.27	00640
1.1.1.27	01100
1.1.1.27	01110
1.1.1.27	01120
1.1.1.270	00100
1.1.1.270	01066
1.1.1.270	01100
1.1.1.271	00051
1.1.1.271	00520
1.1.1.271	01100
1.1.1.272	00270
1.1.1.272	00680
1.1.1.272	01120
1.1.1.273	00901
1.1.1.273	01110
1.1.1.275	00902
1.1.1.275	00903
1.1.1.275	01110
